team_name,conference,season,week,ap_rank,team_id
Alabama,SEC,2012,1,19,333
Alabama,SEC,2012,2,16,333
Alabama,SEC,2012,3,13,333
Alabama,SEC,2012,4,12,333
Alabama,SEC,2012,5,16,333
Alabama,SEC,2012,6,23,333
Arizona,Pac-12,2012,1,16,12
Arizona,Pac-12,2012,2,15,12
Arizona,Pac-12,2012,3,23,12
Baylor,Big 12,2012,1,12,239
Baylor,Big 12,2012,2,11,239
Baylor,Big 12,2012,3,9,239
Baylor,Big 12,2012,4,7,239
Baylor,Big 12,2012,5,6,239
Baylor,Big 12,2012,6,6,239
Baylor,Big 12,2012,7,6,239
Baylor,Big 12,2012,8,6,239
Baylor,Big 12,2012,9,4,239
Baylor,Big 12,2012,10,4,239
Baylor,Big 12,2012,11,3,239
Baylor,Big 12,2012,12,6,239
Baylor,Big 12,2012,13,6,239
Baylor,Big 12,2012,14,6,239
Baylor,Big 12,2012,15,9,239
Baylor,Big 12,2012,16,13,239
Baylor,Big 12,2012,17,9,239
Baylor,Big 12,2012,18,12,239
Baylor,Big 12,2012,19,9,239
California,Pac-12,2012,1,24,25
California,Pac-12,2012,2,23,25
California,Pac-12,2012,3,20,25
California,Pac-12,2012,4,24,25
Cincinnati,Big East,2012,1,21,2132
Cincinnati,Big East,2012,2,20,2132
Creighton,MVC,2012,5,19,156
Creighton,MVC,2012,6,25,156
Creighton,MVC,2012,7,23,156
Creighton,MVC,2012,8,21,156
Creighton,MVC,2012,10,23,156
Creighton,MVC,2012,11,19,156
Creighton,MVC,2012,12,15,156
Creighton,MVC,2012,13,13,156
Creighton,MVC,2012,14,17,156
Creighton,MVC,2012,17,25,156
Creighton,MVC,2012,18,19,156
Creighton,MVC,2012,19,19,156
Duke,ACC,2012,1,6,150
Duke,ACC,2012,2,6,150
Duke,ACC,2012,3,6,150
Duke,ACC,2012,4,3,150
Duke,ACC,2012,5,7,150
Duke,ACC,2012,6,7,150
Duke,ACC,2012,7,7,150
Duke,ACC,2012,8,7,150
Duke,ACC,2012,9,5,150
Duke,ACC,2012,10,8,150
Duke,ACC,2012,11,4,150
Duke,ACC,2012,12,8,150
Duke,ACC,2012,13,7,150
Duke,ACC,2012,14,10,150
Duke,ACC,2012,15,5,150
Duke,ACC,2012,16,5,150
Duke,ACC,2012,17,4,150
Duke,ACC,2012,18,6,150
Duke,ACC,2012,19,8,150
Florida,SEC,2012,1,8,57
Florida,SEC,2012,2,7,57
Florida,SEC,2012,3,10,57
Florida,SEC,2012,4,10,57
Florida,SEC,2012,5,12,57
Florida,SEC,2012,6,13,57
Florida,SEC,2012,7,11,57
Florida,SEC,2012,8,10,57
Florida,SEC,2012,9,13,57
Florida,SEC,2012,10,19,57
Florida,SEC,2012,11,17,57
Florida,SEC,2012,12,14,57
Florida,SEC,2012,13,12,57
Florida,SEC,2012,14,8,57
Florida,SEC,2012,15,14,57
Florida,SEC,2012,16,12,57
Florida,SEC,2012,17,16,57
Florida,SEC,2012,18,22,57
Florida,SEC,2012,19,25,57
Florida State,ACC,2012,2,25,52
Florida State,ACC,2012,3,22,52
Florida State,ACC,2012,12,23,52
Florida State,ACC,2012,13,21,52
Florida State,ACC,2012,14,15,52
Florida State,ACC,2012,15,20,52
Florida State,ACC,2012,16,15,52
Florida State,ACC,2012,17,22,52
Florida State,ACC,2012,18,17,52
