game_date,season,week_end,week
2011-11-08,2012,2011-11-13,1
2011-11-10,2012,2011-11-13,1
2011-11-12,2012,2011-11-13,1
2011-11-11,2012,2011-11-13,1
2011-11-13,2012,2011-11-13,1
2011-11-14,2012,2011-11-20,2
2011-11-15,2012,2011-11-20,2
2011-11-16,2012,2011-11-20,2
2011-11-17,2012,2011-11-20,2
2011-11-18,2012,2011-11-20,2
2011-11-19,2012,2011-11-20,2
2011-11-20,2012,2011-11-20,2
2011-11-21,2012,2011-11-27,3
2011-11-22,2012,2011-11-27,3
2011-11-23,2012,2011-11-27,3
2011-11-24,2012,2011-11-27,3
2011-11-25,2012,2011-11-27,3
2011-11-26,2012,2011-11-27,3
2011-11-27,2012,2011-11-27,3
2011-11-28,2012,2011-12-04,4
2011-11-29,2012,2011-12-04,4
2011-11-30,2012,2011-12-04,4
2011-12-01,2012,2011-12-04,4
2011-12-02,2012,2011-12-04,4
2011-12-03,2012,2011-12-04,4
2011-12-04,2012,2011-12-04,4
2011-12-05,2012,2011-12-11,5
2011-12-06,2012,2011-12-11,5
2011-12-07,2012,2011-12-11,5
2011-12-08,2012,2011-12-11,5
2011-12-09,2012,2011-12-11,5
2011-12-10,2012,2011-12-11,5
2011-12-11,2012,2011-12-11,5
2011-12-12,2012,2011-12-18,6
2011-12-13,2012,2011-12-18,6
2011-12-14,2012,2011-12-18,6
2011-12-15,2012,2011-12-18,6
2011-12-16,2012,2011-12-18,6
2011-12-17,2012,2011-12-18,6
2011-12-18,2012,2011-12-18,6
2011-12-19,2012,2011-12-25,7
2011-12-20,2012,2011-12-25,7
2011-12-21,2012,2011-12-25,7
2011-12-22,2012,2011-12-25,7
2011-12-23,2012,2011-12-25,7
2011-12-24,2012,2011-12-25,7
2011-12-26,2012,2012-01-01,8
2011-12-25,2012,2011-12-25,7
2011-12-28,2012,2012-01-01,8
2011-12-29,2012,2012-01-01,8
2011-12-30,2012,2012-01-01,8
2011-12-31,2012,2012-01-01,8
2012-01-01,2012,2012-01-01,8
2012-01-02,2012,2012-01-08,9
2012-01-03,2012,2012-01-08,9
