home,away,date,game_id,win_prob,naive_win_prob
Auburn,Purdue Fort Wayne,2012-11-09,323140002,0.5,0.5
Arkansas,Sam Houston State,2012-11-09,323140008,0.5,0.5
Stanford,San Francisco,2012-11-09,323140024,0.5,0.5
UCLA,Indiana State,2012-11-09,323140026,0.5,0.5
USC,Coppin State,2012-11-09,323140030,0.5,0.5
Colorado State,Montana,2012-11-09,323140036,0.5,0.5
Colorado,Wofford,2012-11-09,323140038,0.5,0.5
UConn,Michigan State,2012-11-09,323140041,0.5,0.5
Florida State,South Alabama,2012-11-09,323140052,0.5,0.5
Jacksonville State,Reinhardt,2012-11-09,323140055,0.5,0.5
Georgia Tech,Tulane,2012-11-09,323140059,0.5,0.5
Georgia,Jacksonville,2012-11-09,323140061,0.5,0.5
Iowa State,Southern,2012-11-09,323140066,0.5,0.5
Idaho,Wright State,2012-11-09,323140070,0.5,0.5
Bradley,Eastern Illinois,2012-11-09,323140071,0.5,0.5
Indiana,Bryant,2012-11-09,323140084,0.5,0.5
IUPUI,Utah Valley,2012-11-09,323140085,0.5,0.5
Murray State,Brescia,2012-11-09,323140093,0.5,0.5
Kentucky,Maryland,2012-11-09,323140096,0.5,0.5
Harvard,MIT,2012-11-09,323140108,0.5,0.5
Northeastern,Boston University,2012-11-09,323140111,0.5,0.5
Michigan,Slippery Rock,2012-11-09,323140130,0.5,0.5
Minnesota,American,2012-11-09,323140135,0.5,0.5
Saint Louis,South Carolina Upstate,2012-11-09,323140139,0.5,0.5
Ole Miss,Mississippi Valley State,2012-11-09,323140145,0.5,0.5
Duke,Georgia State,2012-11-09,323140150,0.5,0.5
Wake Forest,Radford,2012-11-09,323140154,0.5,0.5
Creighton,North Texas,2012-11-09,323140156,0.5,0.5
Rutgers,Saint Peter's,2012-11-09,323140164,0.5,0.5
Bowling Green,Lake Erie College,2012-11-09,323140189,0.5,0.5
Oklahoma State,UC Davis,2012-11-09,323140197,0.5,0.5
Oregon State,Niagara,2012-11-09,323140204,0.5,0.5
Pennsylvania,UMBC,2012-11-09,323140219,0.5,0.5
Pittsburgh,Mt. St. Mary's,2012-11-09,323140221,0.5,0.5
Rhode Island,Norfolk State,2012-11-09,323140227,0.5,0.5
Charleston,Towson,2012-11-09,323140232,0.5,0.5
Texas A&M,Louisiana Tech,2012-11-09,323140245,0.5,0.5
Houston,Florida A&M,2012-11-09,323140248,0.5,0.5
Texas,Fresno State,2012-11-09,323140251,0.5,0.5
BYU,Tennessee State,2012-11-09,323140252,0.5,0.5
Richmond,Liberty,2012-11-09,323140257,0.5,0.5
Milwaukee,University of Mary,2012-11-09,323140270,0.5,0.5
Marshall,Longwood,2012-11-09,323140276,0.5,0.5
San Diego,San Diego Christian,2012-11-09,323140301,0.5,0.5
DePaul,UC Riverside,2012-11-09,323140305,0.5,0.5
Iona,Denver,2012-11-09,323140314,0.5,0.5
Texas State,Fordham,2012-11-09,323140326,0.5,0.5
Alabama,South Dakota State,2012-11-09,323140333,0.5,0.5
Troy,Mississippi State,2012-11-09,323140344,0.5,0.5
Little Rock,UT Martin,2012-11-09,323142031,0.5,0.5
Lipscomb,Belmont,2012-11-09,323142057,0.5,0.5
Davidson,Emory,2012-11-09,323142166,0.5,0.5
Detroit Mercy,Northern Michigan,2012-11-09,323142174,0.5,0.5
Eastern Kentucky,Cincinnati Christian,2012-11-09,323142198,0.5,0.5
Eastern Michigan,Rochester College,2012-11-09,323142199,0.5,0.5
George Mason,Virginia,2012-11-09,323142244,0.5,0.5
Gonzaga,Southern Utah,2012-11-09,323142250,0.5,0.5
High Point,UNC Greensboro,2012-11-09,323142272,0.5,0.5
Arkansas-Pine Bluff,Houston Baptist,2012-11-09,323142277,0.5,0.5
Iowa,UT Rio Grande Valley,2012-11-09,323142294,0.5,0.5
Kansas,SE Missouri St,2012-11-09,323142305,0.5,0.5
Kansas State,North Dakota,2012-11-09,323142306,0.5,0.5
Loyola Marymount,Pacifica College,2012-11-09,323142351,0.5,0.5
Loyola (MD),Binghamton,2012-11-09,323142352,0.5,0.5
Marist,Stony Brook,2012-11-09,323142368,0.5,0.5
Middle Tennessee,Alabama State,2012-11-09,323142393,0.5,0.5
Monmouth,Hofstra,2012-11-09,323142405,0.5,0.5
Navy,Marymount VA,2012-11-09,323142426,0.5,0.5
UNC Asheville,Western Carolina,2012-11-09,323142427,0.5,0.5
Charlotte,Charleston Southern,2012-11-09,323142429,0.5,0.5
North Carolina A&T,Greensboro,2012-11-09,323142448,0.5,0.5
North Dakota State,Valley City State,2012-11-09,323142449,0.5,0.5
Portland State,Pacific Oregon,2012-11-09,323142502,0.5,0.5
Purdue,Bucknell,2012-11-09,323142509,0.5,0.5
Rider,Robert Morris,2012-11-09,323142520,0.5,0.5
Seton Hall,UMKC,2012-11-09,323142550,0.5,0.5
Siena,Vermont,2012-11-09,323142561,0.5,0.5
Missouri State,Philander Smith,2012-11-09,323142623,0.5,0.5
TCU,Cal Poly,2012-11-09,323142628,0.5,0.5
Tennessee,Kennesaw State,2012-11-09,323142633,0.5,0.5
UTEP,Oral Roberts,2012-11-09,323142638,0.5,0.5
VCU,Florida Gulf Coast,2012-11-09,323142670,0.5,0.5
Valparaiso,Georgia Southern,2012-11-09,323142674,0.5,0.5
Weber State,Arizona Christian,2012-11-09,323142692,0.5,0.5
CSU Bakersfield,UT Arlington,2012-11-09,323142934,0.5,0.5
Hawai'i,Maryland-Eastern Shore,2012-11-10,323140062,0.5,0.5
Yale,Sacred Heart,2012-11-10,323150043,0.5,0.5
George Washington,Youngstown St,2012-11-10,323150045,0.5,0.5
South Florida,UCF,2012-11-10,323150058,0.5,0.5
Missouri,SIU-Edwardsville,2012-11-10,323150142,0.5,0.5
Dartmouth,Maine,2012-11-10,323150159,0.5,0.5
New Hampshire,Suffolk University,2012-11-10,323150160,0.5,0.5
Cornell,Western Michigan,2012-11-10,323150172,0.5,0.5
Ohio,Portland,2012-11-10,323150195,0.5,0.5
Furman,Columbia,2012-11-10,323150231,0.5,0.5
Vanderbilt,Nicholls,2012-11-10,323150238,0.5,0.5
Virginia Tech,East Tennessee State,2012-11-10,323150259,0.5,0.5
Pacific,Holy Names,2012-11-10,323150279,0.5,0.5
UC Irvine,Nevada,2012-11-10,323150300,0.5,0.5
Army,Air Force,2012-11-10,323150349,0.5,0.5
Texas A&M-CC,Texas Lutheran,2012-11-10,323150357,0.5,0.5
Buffalo,Princeton,2012-11-10,323152084,0.5,0.5
