school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,year,20
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2012,NA
School,Conf,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/5,Final,2012,NA
Alabama,SEC,19,16,13,12,16,23,,,,,,,,,,,,,,2012,NA
Arizona,Pac-12,16,15,23,,,,,,,,,,,,,,,,,2012,NA
Baylor,Big 12,12,11,9,7,6,6,6,6,4,4,3,6,6,6,9,13,9,12,9,2012,NA
California,Pac-12,24,23,20,24,,,,,,,,,,,,,,,,2012,NA
Cincinnati,Big East,21,20,,,,,,,,,,,,,,,,,,2012,NA
Creighton,MVC,,,,,19,25,23,21,,23,19,15,13,17,,,25,19,19,2012,NA
Duke,ACC,6,6,6,3,7,7,7,7,5,8,4,8,7,10,5,5,4,6,8,2012,NA
Florida,SEC,8,7,10,10,12,13,11,10,13,19,17,14,12,8,14,12,16,22,25,2012,NA
Florida State,ACC,,25,22,,,,,,,,,23,21,15,20,15,22,17,10,2012,NA
Georgetown,Big East,,,,,18,16,16,12,9,11,10,9,14,12,10,9,11,13,15,2012,NA
Gonzaga,WCC,23,22,19,19,23,,,,25,21,,,24,,24,,,24,,2012,NA
Harvard,Ivy,,,,,25,,,24,22,,,,,25,,,,,,2012,NA
Illinois,Big Ten,,,,,24,19,25,,,,22,,,,,,,,,2012,NA
Indiana,Big Ten,,,,,,18,17,13,12,7,11,16,20,23,18,23,18,15,16,2012,NA
Iowa State,Big 12,,,,,,,,,,,,,,,,,,25,,2012,NA
Kansas,Big 12,13,12,14,15,13,12,12,17,14,10,7,5,8,7,4,4,3,3,6,2012,NA
Kansas State,Big 12,,,,,,,,,23,18,25,22,,,,,,,,2012,NA
Kentucky,SEC,2,2,2,1,1,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2012,NA
Louisville,Big East,9,8,7,6,5,4,4,4,11,14,23,,,24,19,17,19,,17,2012,NA
Marquette,Big East,22,21,16,16,11,11,10,14,20,25,21,17,15,18,12,10,8,9,11,2012,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2012,NA
School,Conf,Pre,11/14,11/21,11/28,12/5,12/12,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/5,Final,2012,NA
Memphis,CUSA,11,10,8,22,21,,,,,,,,,,,,,,,2012,NA
