fullName,city,state,location,lon,lat,type,loctype,address,north,south,east,west
McKale Center,Tucson,AZ,"McKale Center, Tucson, AZ",-110.9460438,32.2297033,establishment,rooftop,"1721 e enke dr, tucson, az 85721, usa",32.2309566302915,32.2282586697085,-110.9446642197085,-110.9473621802915
Humphrey Coliseum,Starkville,MS,"Humphrey Coliseum, Starkville, MS",-88.7940254,33.4614159,premise,rooftop,"humphrey coliseum, 55 bailey howell dr, starkville, ms 39759, usa",33.46271823029149,33.46002026970849,-88.7926169197085,-88.7953148802915
Carnesecca Arena,Queens,NY,"Carnesecca Arena, Queens, NY",-73.7945744,40.7241781,establishment,rooftop,"jamaica, ny 11439, usa",40.7255353802915,40.7228374197085,-73.7932134697085,-73.79591143029151
Reed Arena,College Station,TX,"Reed Arena, College Station, TX",-96.3462325,30.6060094,atm,rooftop,"730 olsen blvd, college station, tx 77843, usa",30.6077647302915,30.6050667697085,-96.34478701970849,-96.34748498029151
Neville Arena,Auburn,AL,"Neville Arena, Auburn, AL",-85.4924988,32.6027586,establishment,rooftop,"auburn arena, 250 beard-eaves court, auburn, al 36849, usa",32.6038894302915,32.6011914697085,-85.49085906970849,-85.49355703029151
Bud Walton Arena,Fayetteville,AR,"Bud Walton Arena, Fayetteville, AR",-94.1781312,36.06153860000001,establishment,rooftop,"1270 nolan richardson dr, fayetteville, ar 72701, usa",36.0627554302915,36.0600574697085,-94.1767894197085,-94.1794873802915
Desert Financial Arena,Tempe,AZ,"Desert Financial Arena, Tempe, AZ",-111.9310002,33.424495,establishment,rooftop,"600 e veterans way, tempe, az 85281, usa",33.4254444302915,33.4227464697085,-111.9292907,-111.93206
Viejas Arena,San Diego,CA,"Viejas Arena, San Diego, CA",-117.0746442,32.7740276,establishment,rooftop,"5500 canyon crest dr, san diego, ca 92182, usa",32.77493303029149,32.77223506970849,-117.0739183197085,-117.0766162802915
Maples Pavilion,Stanford,CA,"Maples Pavilion, Stanford, CA",-122.1606333,37.4296194,establishment,rooftop,"655 campus drive, stanford, ca 94305, usa",37.4307141802915,37.4280162197085,-122.1594818197085,-122.1621797802915
Haas Pavilion,Berkeley,CA,"Haas Pavilion, Berkeley, CA",-122.2621795,37.8694051,establishment,rooftop,"115 haas pavilion, berkeley, ca 94720, usa",37.8710125802915,37.8683146197085,-122.2609261697085,-122.2636241302915
Los Angeles Memorial Sports Arena,Los Angeles,CA,"Los Angeles Memorial Sports Arena, Los Angeles, CA",-118.2878754,34.0140526,establishment,rooftop,"3911 s figueroa st, los angeles, ca 90037, usa",34.0180559,34.0110399,-118.2828457,-118.2901379
SRC Arena,Riverside,CA,"SRC Arena, Riverside, CA",-117.3286666,33.9788436,establishment,rooftop,"900 university ave, riverside, ca 92521, usa",33.9800263302915,33.9773283697085,-117.3274845197085,-117.3301824802915
Galen Center,Los Angeles,CA,"Galen Center, Los Angeles, CA",-118.2798781,34.0208427,establishment,rooftop,"3400 s figueroa st, los angeles, ca 90089, usa",34.0223880302915,34.0196900697085,-118.2787752197085,-118.2814731802915
Moby Arena,Fort Collins,CO,"Moby Arena, Fort Collins, CO",-105.0932133,40.5756643,establishment,rooftop,"951 w plum st, fort collins, co 80521, usa",40.5769763302915,40.5742783697085,-105.0923890697085,-105.0950870302915
CU Events Center,Boulder,CO,"CU Events Center, Boulder, CO",-105.2606163,40.0046715,establishment,rooftop,"coors events, 950 regent dr, boulder, co 80309, usa",40.0064166302915,40.0037186697085,-105.2597080197085,-105.2624059802915
Gampel Pavilion,Storrs,CT,"Gampel Pavilion, Storrs, CT",-72.2544231,41.805293,establishment,rooftop,"2098 hillside rd, storrs, ct 06268, usa",41.8066637302915,41.8039657697085,-72.2526361697085,-72.2553341302915
Charles E. Smith Center,Washington,DC,"Charles E. Smith Center, Washington, DC",-77.04933799999999,38.8978433,establishment,rooftop,"600 22nd st nw, washington, dc 20052, usa",38.8989522802915,38.8962543197085,-77.0481309697085,-77.0508289302915
Donald L. Tucker Center,Tallahassee,FL,"Donald L. Tucker Center, Tallahassee, FL",-84.2866581,30.4377823,establishment,rooftop,"505 w pensacola st, tallahassee, fl 32301, usa",30.4393500302915,30.4366520697085,-84.28578521970849,-84.28848318029151
Pete Mathews Coliseum,Jacksonville,AL,"Pete Mathews Coliseum, Jacksonville, AL",-85.7735038,33.8241586,establishment,rooftop,"775 park ave nw #735, jacksonville, al 36265, usa",33.8254698302915,33.8227718697085,-85.77167891970849,-85.7743768802915
Edmunds Center,Deland,FL,"Edmunds Center, Deland, FL",-81.3018584,29.0395387,establishment,rooftop,"143 e pennsylvania ave, deland, fl 32720, usa",29.0408970802915,29.0381991197085,-81.30081996970848,-81.3035179302915
Exactech Arena at Stephen C. O'Connell Center,Gainesville,FL,"Exactech Arena at Stephen C. O'Connell Center, Gainesville, FL",-82.35116819999999,29.649423,establishment,rooftop,"250 gale lemerand dr, gainesville, fl 32611, usa",29.6511738302915,29.6484758697085,-82.34944296970849,-82.3521409302915
The Arena at Gwinnett Center,Duluth,GA,"The Arena at Gwinnett Center, Duluth, GA",-84.0938603,33.9913579,premise,rooftop,"the arena at gwinnett center, 6400 sugarloaf pkwy, duluth, ga 30097, usa",33.99295303029149,33.99025506970849,-84.092588869708507,-84.09528683029151
Stegeman Coliseum,Athens,GA,"Stegeman Coliseum, Athens, GA",-83.3778105,33.9425065,establishment,rooftop,"100 smith st, athens, ga 30605, usa",33.9442106802915,33.9415127197085,-83.3766879197085,-83.37938588029151
ExtraMile Arena,Boise,ID,"ExtraMile Arena, Boise, ID",-116.1989425,43.6035805,premise,rooftop,"extramile arena, 1401 w cesar chavez ln, boise, id 83706, usa",43.6049272302915,43.6022292697085,-116.1977177197085,-116.2004156802915
